,-0.049
0,0.076
1,0.103
2,0.012
3,0.103
4,0.232
5,0.168
6,0.02
7,-0.217
8,-0.022
9,0.291
10,0.078
11,-0.256
12,-0.315
13,-0.308
14,0.449
15,0.491
16,-0.137
17,-0.422
18,-0.176
19,0.239
20,0.208
21,-0.149
22,-0.149
23,0.095
24,0.249
25,0.161
26,0.015
27,0.044
28,0.081
29,-0.054
30,-0.249
31,-0.317
32,-0.073
33,0.039
34,-0.134
35,-0.066
36,0.117
37,0.281
38,0.122
39,-0.037
40,0.007
41,-0.012
42,0.002
43,-0.034
44,-0.029
45,0.054
46,0.105
47,0.083
48,-0.127
49,-0.159
50,-0.054
51,-0.063
52,-0.015
53,-0.081
54,-0.044
55,-0.029
56,0.01
57,0.034
58,0.068
59,0.083
60,0.115
61,0.107
62,0.012
63,0.005
64,0.007
65,0.051
66,-0.017
67,-0.068
68,-0.056
69,-0.01
70,0.017
71,0.01
72,-0.039
73,-0.127
74,0.002
75,0.051
76,-0.066
77,-0.085
78,0.0
79,-0.01
80,-0.027
81,0.022
82,0.007
83,-0.085
84,-0.129
85,-0.012
86,0.098
87,0.015
88,-0.112
89,-0.125
90,0.017
91,0.198
92,0.142
93,-0.029
94,-0.178
95,0.066
96,0.266
97,-0.044
98,-0.325
99,-0.635
100,0.183
101,0.544
102,-0.017
103,-0.505
104,-0.356
105,0.227
106,0.249
107,-0.271
108,-0.337
109,-0.005
110,0.278
111,0.063
112,-0.146
113,0.0
114,0.251
115,0.186
116,-0.249
117,-0.444
118,-0.183
119,0.054
120,-0.081
121,-0.176
122,0.027
123,0.173
124,-0.024
125,-0.139
126,-0.007
127,0.098
128,-0.024
129,-0.171
130,-0.171
131,-0.059
132,0.11
133,0.042
134,-0.181
135,-0.088
136,0.132
137,0.107
138,-0.054
139,-0.117
140,0.017
141,-0.088
142,-0.056
143,-0.037
144,0.054
145,0.037
146,-0.071
147,-0.103
148,-0.071
149,0.112
150,0.029
151,-0.115
152,-0.19
153,-0.122
154,-0.034
155,-0.012
156,-0.017
157,-0.073
158,0.039
159,0.063
160,-0.042
161,-0.098
162,-0.042
163,-0.027
164,-0.103
165,-0.081
166,-0.02
167,-0.046
168,0.015
169,-0.063
170,-0.129
171,-0.115
172,-0.112
173,-0.115
174,-0.09
175,0.0
176,0.032
177,0.193
178,0.142
179,0.037
180,-0.088
181,-0.063
182,-0.032
183,0.156
184,-0.276
185,-0.3
186,-0.212
187,0.125
188,0.369
189,-0.186
190,-0.449
191,-0.112
192,0.176
193,-0.044
194,-0.381
195,-0.256
196,0.11
197,0.164
198,0.032
199,-0.063
200,0.244
201,0.425
202,0.208
203,-0.22
204,-0.181
205,0.132
206,0.049
207,-0.249
208,-0.251
209,0.166
210,0.283
211,0.007
212,-0.144
213,-0.073
214,0.103
215,0.071
216,-0.137
217,-0.291
218,-0.098
219,0.081
220,0.12
221,0.02
222,0.044
223,0.127
224,0.081
225,-0.137
226,-0.156
227,-0.054
228,0.034
229,-0.039
230,-0.198
231,-0.063
232,0.059
233,0.09
234,-0.039
235,-0.1
236,-0.015
237,0.093
238,0.042
239,-0.022
240,-0.073
241,0.005
242,0.081
243,0.149
244,0.098
245,0.015
246,-0.061
247,-0.068
248,-0.034
249,-0.002
250,0.002
251,-0.142
252,-0.181
253,-0.127
254,0.002
255,0.015
256,-0.132
257,-0.144
258,-0.039
259,-0.002
260,-0.081
261,-0.007
262,0.093
263,0.193
264,0.178
265,0.22
266,0.073
267,-0.1
268,-0.083
269,0.122
270,0.049
271,0.051
272,-0.325
273,-0.444
274,0.11
275,0.518
276,-0.098
277,-0.374
278,-0.144
279,0.19
280,0.132
281,-0.166
282,-0.168
283,0.151
284,0.315
285,0.112
286,-0.022
287,0.054
288,0.186
289,0.042
290,-0.166
291,-0.137
292,0.012
293,-0.042
294,-0.166
295,-0.159
296,-0.083
297,0.127
298,0.083
299,-0.076
300,-0.105
301,0.037
302,0.132
303,-0.027
304,-0.125
305,-0.122
306,0.073
307,0.146
308,-0.017
309,-0.186
310,-0.068
311,0.051
312,0.034
313,-0.186
314,-0.256
315,-0.078
316,0.024
317,0.042
318,-0.042
319,0.046
320,0.151
321,0.061
322,0.0
323,0.005
324,0.002
325,0.034
326,0.117
327,-0.002
328,-0.098
329,0.059
330,0.195
331,0.022
332,-0.054
333,-0.1
334,-0.037
335,-0.046
336,-0.046
337,-0.132
338,-0.093
339,-0.002
340,0.042
341,-0.081
342,-0.066
343,-0.039
344,-0.02
345,-0.088
346,-0.005
347,0.027
348,0.024
349,0.137
350,0.054
351,0.027
352,0.015
353,0.083
354,-0.034
355,0.061
356,0.027
357,-0.054
358,-0.288
359,0.012
360,0.11
361,-0.083
362,0.098
363,-0.046
364,-0.234
365,-0.112
366,0.3
367,0.247
368,-0.222
369,-0.378
370,-0.032
371,0.254
372,0.2
373,0.007
374,-0.022
375,0.037
376,0.005
377,0.039
378,-0.002
379,0.066
380,0.024
381,0.015
382,-0.005
383,0.127
384,0.122
385,0.127
386,0.093
387,0.054
388,0.037
389,0.037
390,0.0
391,-0.022
392,0.017
393,-0.029
394,0.015
395,0.029
396,0.071
397,-0.01
398,-0.049
399,-0.015
400,0.005
401,-0.044
402,-0.046
403,-0.044
404,0.029
405,0.061
406,0.032
407,-0.002
408,0.061
409,0.193
410,0.061
411,-0.078
412,-0.088
413,0.034
414,0.127
415,0.029
416,-0.007
417,-0.061
418,-0.085
419,-0.022
420,-0.012
421,-0.095
422,-0.042
423,0.066
424,0.151
425,-0.01
426,-0.039
427,-0.017
428,-0.029
429,-0.015
430,-0.017
431,0.012
432,-0.002
433,0.005
434,-0.01
435,-0.071
436,-0.029
437,0.081
438,0.042
439,0.034
440,-0.088
441,0.046
442,0.237
443,0.129
444,-0.085
445,-0.332
446,-0.244
447,0.295
448,0.535
449,-0.229
450,-0.491
451,-0.12
452,0.498
453,0.205
454,-0.232
455,-0.254
456,0.034
457,0.298
458,0.178
459,-0.01
460,0.044
461,0.229
462,0.122
463,-0.178
464,-0.181
465,0.117
466,0.168
467,-0.032
468,-0.208
469,0.0
470,0.156
471,0.186
472,-0.083
473,-0.161
474,-0.027
475,0.046
476,0.134
477,0.059
478,0.01
479,-0.066
480,0.037
481,0.085
482,0.049
483,0.032
484,0.056
485,0.071
486,0.051
487,-0.042
488,-0.054
489,0.059
490,0.088
491,0.042
492,-0.029
493,0.049
494,0.02
495,-0.002
496,-0.076
497,-0.066
498,-0.068
499,0.081
500,0.061
501,-0.044
502,-0.012
503,0.093
504,0.193
505,0.11
506,-0.029
507,-0.032
508,0.083
509,0.125
510,0.078
511,-0.085
512,-0.078
513,-0.046
514,-0.088
515,-0.137
516,-0.01
517,0.027
518,-0.078
519,-0.103
520,-0.12
521,-0.01
522,-0.051
523,0.095
524,0.12
525,0.188
526,0.127
527,0.015
528,-0.022
529,0.01
530,0.251
531,-0.151
532,-0.376
533,-0.432
534,0.149
535,0.515
536,-0.056
537,-0.586
538,-0.386
539,0.112
540,0.112
541,-0.308
542,-0.249
543,0.2
544,0.334
545,0.105
546,0.061
547,0.32
548,0.422
549,-0.017
550,-0.344
551,-0.103
552,0.081
553,0.051
554,-0.212
555,-0.159
556,0.066
557,0.2
558,0.024
559,-0.149
560,0.027
561,0.12
562,0.017
563,-0.034
564,0.032
565,0.161
566,0.195
567,0.166
568,0.115
569,0.073
570,0.037
571,-0.037
572,-0.066
573,-0.061
574,-0.11
575,-0.151
576,-0.168
577,-0.146
578,-0.105
579,-0.12
580,-0.09
581,0.0
582,0.017
583,0.037
584,0.012
585,0.0
586,0.0
587,0.066
588,0.063
589,0.01
590,0.085
591,0.032
592,0.017
593,-0.071
594,-0.144
595,-0.093
596,-0.032
597,-0.137
598,-0.11
599,-0.115
600,-0.037
601,0.0
602,-0.032
603,-0.015
604,-0.105
605,-0.134
606,-0.02
607,0.11
608,0.203
609,0.085
610,0.073
611,0.146
612,0.161
613,-0.012
614,-0.122
615,-0.198
616,-0.122
617,0.012
618,-0.056
619,-0.291
620,-0.444
621,0.168
622,0.303
623,0.015
624,-0.388
625,-0.212
626,0.117
627,0.19
628,0.002
629,-0.142
630,-0.049
631,0.291
632,0.298
633,0.095
634,0.022
635,0.11
636,-0.037
637,-0.22
638,-0.129
639,0.002
640,-0.122
641,-0.122
642,0.022
643,0.085
644,0.203
645,0.139
646,-0.054
647,-0.049
648,0.112
649,0.051
650,-0.078
651,-0.056
652,0.051
653,-0.005
654,-0.171
655,-0.178
656,-0.027
657,0.024
658,-0.054
659,-0.264
660,-0.259
661,-0.063
662,-0.015
663,-0.029
664,0.002
665,0.034
666,0.037
667,0.115
668,0.073
669,-0.066
670,-0.068
671,-0.01
672,0.068
673,0.037
674,-0.015
675,0.032
676,0.093
677,0.166
678,0.054
679,-0.098
680,-0.002
681,0.051
682,-0.034
683,-0.098
684,-0.09
685,0.056
686,0.029
687,0.017
688,0.032
689,0.054
690,0.044
691,-0.007
692,-0.044
693,-0.042
694,-0.051
695,-0.024
696,0.046
697,0.11
698,0.088
699,0.115
700,0.02
701,-0.156
702,-0.159
703,0.005
704,0.112
705,0.042
706,-0.134
707,-0.4
708,0.178
709,0.413
710,0.103
711,-0.293
712,-0.273
713,0.017
714,0.071
715,-0.168
716,-0.229
717,-0.012
718,0.164
719,0.083
720,-0.132
721,0.051
722,0.264
723,0.105
724,-0.212
725,-0.312
726,-0.09
727,0.107
728,0.044
729,-0.017
730,0.0
731,0.095
732,0.144
733,0.039
734,0.049
735,0.071
736,-0.027
737,-0.117
738,-0.125
739,-0.066
740,-0.103
741,-0.044
742,0.032
743,0.029
744,0.01
745,0.002
746,-0.012
747,-0.027
748,-0.061
749,0.02
750,0.01
751,-0.024
752,-0.061
753,-0.049
754,0.129
755,0.217
756,0.154
757,-0.015
758,-0.083
759,-0.061
760,-0.029
761,-0.024
762,-0.042
763,-0.01
764,0.105
765,0.054
766,-0.039
767,0.063
768,0.105
769,0.032
770,-0.107
771,-0.09
772,0.012
773,0.02
774,-0.063
775,-0.012
776,0.01
777,-0.09
778,-0.159
779,-0.1
780,-0.005
781,-0.012
782,-0.015
783,-0.02
784,0.049
785,0.154
786,0.261
787,0.0
788,-0.034
789,0.049
790,0.149
791,0.19
792,-0.017
793,-0.21
794,-0.532
795,0.137
796,0.43
797,0.063
798,-0.347
799,-0.327
800,0.056
801,0.222
802,-0.054
803,-0.237
804,-0.09
805,0.208
806,0.198
807,-0.005
808,0.1
809,0.303
810,0.178
811,-0.159
812,-0.247
813,0.081
814,0.203
815,0.005
816,-0.139
817,-0.105
818,0.137
819,0.149
820,-0.02
821,-0.122
822,0.032
823,0.029
824,-0.046
825,-0.105
826,-0.005
827,0.078
828,0.0
829,0.007
830,0.122
831,0.168
832,0.049
833,-0.127
834,-0.142
835,-0.073
836,-0.01
837,0.005
838,-0.068
839,-0.112
840,-0.11
841,-0.022
842,0.081
843,0.056
844,-0.144
845,-0.195
846,-0.024
847,0.11
848,0.037
849,-0.029
850,0.024
851,0.137
852,0.159
853,0.029
854,-0.02
855,0.132
856,0.154
857,-0.081
858,-0.271
859,-0.095
860,0.112
861,-0.005
862,-0.203
863,-0.188
864,-0.046
865,0.051
866,-0.071
867,-0.154
868,-0.183
869,-0.02
870,0.083
871,0.144
872,0.178
873,0.178
874,0.032
875,-0.144
876,-0.085
877,0.017
878,0.081
879,-0.029
880,-0.366
881,-0.557
