,-0.002
0,-0.039
1,-0.032
2,0.098
3,0.056
4,-0.085
5,-0.132
6,-0.032
7,0.032
8,-0.068
9,-0.051
10,0.056
11,-0.161
12,-0.085
13,0.071
14,0.015
15,-0.029
16,-0.007
17,-0.071
18,0.0
19,-0.042
20,-0.081
21,-0.061
22,-0.032
23,0.01
24,0.051
25,-0.12
26,0.059
27,0.007
28,-0.088
29,-0.051
30,-0.005
31,-0.005
32,0.215
33,0.081
34,0.085
35,0.042
36,0.046
37,0.125
38,-0.007
39,0.071
40,0.061
41,-0.061
42,-0.066
43,0.024
44,-0.037
45,0.022
46,0.042
47,0.002
48,0.049
49,-0.027
50,0.088
51,0.251
52,-0.01
53,0.044
54,0.159
55,0.103
56,0.063
57,-0.034
58,0.051
59,0.093
60,-0.034
61,0.085
62,0.002
63,-0.095
64,-0.015
65,-0.076
66,-0.063
67,0.024
68,-0.095
69,-0.024
70,-0.037
71,-0.137
72,-0.022
73,0.061
74,0.034
75,-0.059
76,0.042
77,0.134
78,-0.046
79,0.044
80,0.098
81,-0.127
82,0.017
83,0.217
84,-0.09
85,-0.115
86,-0.078
87,0.156
88,0.034
89,-0.132
90,0.098
91,0.005
92,0.02
93,0.056
94,0.007
95,0.142
96,0.049
97,0.022
98,0.027
99,-0.027
100,0.027
101,0.078
102,0.046
103,0.103
104,-0.09
105,-0.039
106,0.054
107,0.068
108,0.085
109,0.056
110,0.0
111,0.015
112,-0.049
113,-0.068
114,0.073
115,-0.034
116,-0.068
117,-0.037
118,0.105
119,-0.034
120,0.032
121,0.059
122,-0.085
123,-0.027
124,-0.012
125,-0.01
126,-0.115
127,-0.098
128,0.068
129,0.063
130,-0.032
131,-0.059
132,0.059
133,0.049
134,-0.061
135,0.005
136,0.129
137,-0.046
138,-0.066
139,0.046
140,0.046
141,0.051
142,-0.02
143,0.051
144,0.027
145,0.017
146,0.039
147,-0.022
148,-0.032
149,0.098
150,0.112
151,0.078
152,0.024
153,0.029
154,0.125
155,0.042
156,0.078
157,0.007
158,-0.02
159,0.11
160,-0.022
161,0.039
162,-0.01
163,-0.088
164,-0.056
165,-0.054
166,-0.095
167,0.022
168,0.032
169,-0.071
170,-0.015
171,-0.071
172,0.105
173,0.105
174,0.156
175,0.142
176,0.044
177,0.078
178,0.042
179,0.02
180,0.046
181,0.02
182,-0.066
183,-0.005
184,0.002
185,-0.032
186,-0.01
187,-0.054
188,-0.073
189,-0.027
190,-0.002
191,0.054
192,0.017
193,0.059
194,0.017
195,-0.007
196,0.083
197,-0.034
198,-0.056
199,0.112
200,0.01
201,-0.024
202,-0.037
203,0.022
204,-0.01
205,0.002
206,0.017
207,0.029
208,-0.024
209,0.002
210,0.044
211,0.0
212,-0.005
213,0.01
214,0.085
215,0.01
216,0.042
217,0.044
218,0.12
219,0.085
220,-0.061
221,0.061
222,0.056
223,-0.063
224,0.005
225,0.0
226,-0.085
227,0.051
228,0.063
229,0.046
230,-0.061
231,-0.01
232,0.044
233,0.015
234,0.002
235,0.02
236,0.073
237,0.01
238,0.02
239,0.076
240,0.024
241,-0.11
242,-0.049
243,-0.022
244,-0.029
245,-0.017
246,-0.01
247,-0.034
248,-0.132
249,-0.09
250,-0.09
251,0.039
252,0.054
253,-0.115
254,0.02
255,0.088
256,0.012
257,0.098
258,0.061
259,0.01
260,-0.002
261,0.034
262,-0.022
263,-0.01
264,-0.068
265,-0.042
266,-0.073
267,0.007
268,-0.029
269,-0.12
270,0.037
271,0.044
272,0.022
273,-0.073
274,-0.037
275,0.039
276,-0.005
277,-0.042
278,0.039
279,0.044
280,0.051
281,-0.051
282,-0.09
283,-0.083
284,-0.071
285,-0.088
286,-0.063
287,-0.044
288,-0.059
289,0.027
290,0.007
291,-0.061
292,-0.002
293,-0.034
294,0.068
295,-0.012
296,-0.007
297,-0.034
298,-0.01
299,0.032
300,-0.012
301,-0.002
302,-0.024
303,0.046
304,-0.027
305,-0.027
306,-0.017
307,-0.083
308,-0.054
309,-0.029
310,-0.034
311,-0.071
312,0.002
313,-0.068
314,0.063
315,0.083
316,0.012
317,0.115
318,-0.005
319,0.051
320,0.024
321,-0.042
322,-0.085
323,0.059
324,0.039
325,0.051
326,-0.049
327,-0.032
328,0.015
329,-0.056
330,-0.032
331,-0.066
332,-0.005
333,-0.012
334,0.017
335,0.015
336,0.022
337,0.042
338,0.083
339,0.076
340,0.039
341,0.107
342,0.015
343,-0.02
344,-0.1
345,-0.056
346,-0.093
347,-0.046
348,-0.027
349,-0.073
350,-0.054
351,-0.066
352,-0.005
353,-0.1
354,-0.042
355,0.027
356,0.0
357,-0.046
358,-0.063
359,0.017
360,-0.002
361,-0.005
362,0.039
363,0.042
364,0.015
365,-0.007
366,-0.024
367,-0.024
368,-0.054
369,-0.063
370,-0.051
371,-0.098
372,-0.039
373,-0.066
374,-0.078
375,-0.034
376,0.049
377,0.015
378,-0.01
379,0.002
380,0.103
381,0.115
382,0.034
383,-0.01
384,0.007
385,-0.022
386,-0.063
387,-0.09
388,-0.068
389,0.117
390,0.059
391,-0.088
392,-0.105
393,-0.042
394,-0.022
395,-0.042
396,0.002
397,-0.01
398,0.01
399,0.017
400,-0.066
401,0.122
402,0.032
403,0.002
404,-0.103
405,0.042
406,0.095
407,0.002
408,-0.039
409,-0.051
410,0.005
411,-0.083
412,-0.012
413,-0.034
414,0.005
415,0.0
416,0.022
417,0.024
418,-0.017
419,0.042
420,0.042
421,0.105
422,0.115
423,0.015
424,-0.002
425,0.076
426,0.085
427,0.083
428,0.049
429,-0.042
430,-0.024
431,-0.002
432,0.034
433,-0.015
434,0.012
435,-0.037
436,-0.049
437,-0.056
438,0.029
439,0.024
440,-0.034
441,0.017
442,-0.007
443,-0.029
444,-0.002
445,-0.029
446,0.071
447,0.01
448,0.022
449,-0.029
450,-0.037
451,0.012
452,0.01
453,-0.066
454,-0.005
455,0.051
456,0.029
457,0.059
458,-0.046
459,0.024
460,0.076
461,0.039
462,-0.017
463,0.007
464,-0.042
465,-0.015
466,-0.112
467,-0.044
468,-0.063
469,-0.154
470,-0.073
471,-0.017
472,0.002
473,-0.024
474,-0.037
475,-0.068
476,-0.122
477,-0.017
478,0.063
479,0.105
480,-0.024
481,0.054
482,0.044
483,0.044
484,-0.029
485,0.01
486,0.022
487,-0.024
488,0.022
489,-0.032
490,-0.007
491,-0.112
492,-0.127
493,-0.139
494,-0.137
495,-0.037
496,0.027
497,0.012
498,-0.068
499,-0.061
500,0.024
501,0.022
502,-0.034
503,-0.015
504,0.095
505,0.093
506,-0.039
507,-0.024
508,0.083
509,-0.024
510,0.068
511,-0.034
512,0.066
513,0.056
514,-0.012
515,0.007
516,-0.056
517,-0.054
518,-0.034
519,0.042
520,-0.032
521,0.046
522,0.044
523,0.012
524,-0.029
525,0.061
526,0.029
527,-0.056
528,-0.002
529,-0.012
530,0.02
531,-0.068
532,-0.061
533,0.002
534,-0.002
535,-0.007
536,-0.032
537,-0.063
538,-0.071
539,-0.039
540,-0.007
541,0.093
542,0.005
543,0.017
544,0.081
545,0.049
546,-0.007
547,-0.022
548,0.144
549,0.183
550,-0.039
551,-0.115
552,0.059
553,0.049
554,0.037
555,-0.063
556,-0.034
557,-0.042
558,0.027
559,-0.059
560,-0.085
561,-0.015
562,0.054
563,0.049
564,0.02
565,-0.022
566,0.024
567,0.015
568,-0.039
569,-0.056
570,0.117
571,-0.01
572,-0.007
573,-0.027
574,-0.063
575,0.01
576,-0.012
577,0.034
578,0.027
579,-0.076
580,-0.007
581,0.146
582,0.059
583,-0.007
584,-0.1
585,0.034
586,0.142
587,-0.061
588,-0.022
589,0.027
590,0.037
591,-0.039
592,-0.073
593,-0.078
594,-0.022
595,0.037
596,0.007
597,0.007
598,-0.042
599,0.007
600,0.051
601,0.049
602,0.037
603,0.054
604,-0.002
605,-0.015
606,-0.002
607,0.01
608,0.0
609,-0.061
610,-0.046
611,-0.034
612,-0.071
613,0.012
614,-0.02
615,0.015
616,-0.125
617,-0.061
618,-0.054
619,0.061
620,0.002
621,-0.027
622,-0.046
623,-0.027
624,0.061
625,-0.002
626,0.051
627,0.066
628,0.125
629,0.056
630,-0.046
631,-0.081
632,-0.029
633,-0.039
634,-0.073
635,0.002
636,0.146
637,0.034
638,0.051
639,0.032
640,0.039
641,0.078
642,-0.073
643,-0.042
644,0.012
645,-0.012
646,0.042
647,-0.042
648,0.017
649,0.039
650,-0.051
651,0.0
652,-0.02
653,0.061
654,-0.071
655,0.032
656,0.063
657,0.029
658,0.095
659,0.164
660,-0.181
661,0.005
662,0.193
663,0.103
664,-0.024
665,-0.161
666,0.02
667,0.044
668,-0.132
669,-0.01
670,-0.01
671,-0.061
672,0.002
673,-0.012
674,-0.125
675,-0.027
676,0.044
677,-0.059
678,-0.125
679,-0.076
680,0.066
681,0.054
682,0.005
683,0.037
684,0.029
685,0.051
686,0.085
687,0.049
688,-0.027
689,-0.02
690,0.02
691,-0.059
692,-0.105
693,0.076
694,-0.024
695,0.0
696,-0.017
697,-0.068
698,0.054
699,-0.103
700,-0.171
701,-0.027
702,0.071
703,0.042
704,-0.015
705,-0.01
706,0.132
707,-0.032
708,-0.012
709,-0.002
710,-0.002
711,0.093
712,-0.017
713,-0.071
714,-0.046
715,-0.024
716,-0.081
717,-0.12
718,0.02
719,0.098
720,-0.002
721,0.054
722,0.093
723,-0.042
724,0.088
725,0.107
726,0.063
727,0.071
728,0.046
729,0.005
730,-0.02
731,-0.063
732,-0.132
733,-0.049
734,-0.056
735,-0.083
736,-0.161
737,-0.178
738,-0.078
739,0.02
740,0.037
741,0.051
742,-0.103
743,0.044
744,0.195
745,0.093
746,0.042
747,-0.034
748,-0.042
749,-0.083
750,-0.054
751,-0.059
752,0.024
753,0.017
754,-0.083
755,-0.027
756,-0.017
757,-0.151
758,-0.144
759,-0.042
760,0.066
761,-0.059
762,-0.054
763,0.0
764,0.083
765,-0.005
766,0.034
767,0.017
768,0.034
769,0.046
770,0.007
771,-0.051
772,-0.042
773,0.01
774,0.088
775,0.042
776,-0.093
777,-0.039
