,0.027
0,0.059
1,0.007
2,-0.005
3,0.059
4,0.122
5,0.032
6,-0.061
7,0.049
8,0.027
9,-0.015
10,0.0
11,0.012
12,-0.022
13,0.017
14,0.056
15,-0.242
16,-0.105
17,-0.022
18,0.0
19,0.0
20,-0.022
21,0.01
22,0.012
23,-0.039
24,-0.015
25,0.051
26,0.007
27,0.01
28,0.061
29,0.059
30,0.037
31,-0.007
32,0.037
33,-0.1
34,0.01
35,0.088
36,-0.066
37,0.073
38,0.066
39,-0.059
40,-0.012
41,0.005
42,-0.029
43,0.078
44,-0.078
45,0.12
46,0.09
47,-0.02
48,0.015
49,-0.049
50,-0.076
51,-0.12
52,-0.054
53,-0.02
54,0.027
55,-0.027
56,-0.059
57,-0.054
58,0.002
59,0.105
60,0.107
61,-0.127
62,-0.017
63,0.056
64,0.056
65,0.049
66,0.051
67,0.117
68,0.076
69,0.02
70,-0.02
71,-0.02
72,-0.056
73,-0.054
74,0.078
75,-0.01
76,0.005
77,-0.088
78,0.032
79,0.129
80,-0.054
81,0.017
82,0.127
83,0.071
84,0.063
85,0.09
86,0.042
87,0.098
88,-0.039
89,0.11
90,0.0
91,-0.071
92,0.024
93,0.122
94,-0.066
95,0.027
96,0.081
97,-0.032
98,-0.01
99,-0.02
100,-0.005
101,0.044
102,-0.09
103,0.0
104,-0.11
105,0.022
106,0.049
107,0.02
108,-0.085
109,-0.044
110,0.015
111,0.02
112,-0.015
113,-0.129
114,-0.042
115,0.059
116,-0.022
117,-0.039
118,0.032
119,-0.029
120,0.034
121,0.017
122,0.032
123,-0.088
124,-0.015
125,0.093
126,0.12
127,0.071
128,-0.105
129,-0.015
130,0.132
131,0.039
132,-0.039
133,-0.098
134,0.012
135,-0.027
136,-0.159
137,-0.01
138,0.037
139,0.039
140,0.034
141,-0.134
142,0.068
143,-0.103
144,-0.029
145,0.146
146,0.039
147,-0.083
148,0.076
149,0.122
150,-0.024
151,-0.103
152,0.027
153,0.017
154,-0.007
155,-0.073
156,-0.024
157,0.039
158,0.02
159,0.081
160,0.1
161,0.042
162,0.093
163,0.049
164,0.024
165,0.034
166,-0.02
167,0.1
168,0.1
169,0.002
170,-0.005
171,0.042
172,0.017
173,0.005
174,-0.088
175,0.015
176,0.012
177,0.051
178,0.051
179,-0.022
180,0.044
181,0.0
182,0.068
183,0.081
184,-0.01
185,-0.015
186,0.115
187,0.11
188,0.076
189,-0.027
190,-0.083
191,-0.039
192,0.0
193,0.068
194,-0.139
195,-0.037
196,0.042
197,-0.139
198,-0.032
199,-0.029
200,-0.051
201,-0.049
202,-0.076
203,-0.024
204,-0.125
205,0.063
206,0.107
207,0.063
208,0.042
209,-0.066
210,0.1
211,-0.044
212,-0.076
213,0.042
214,-0.034
215,0.068
216,0.005
217,-0.12
218,-0.071
219,-0.002
220,-0.076
221,0.034
222,0.012
223,-0.049
224,0.078
225,0.068
226,0.007
227,0.12
228,-0.022
229,0.022
230,0.112
231,0.029
232,-0.039
233,-0.09
234,0.083
235,0.015
236,-0.073
237,-0.012
238,-0.066
239,-0.088
240,-0.012
241,-0.063
242,0.027
243,0.005
244,-0.024
245,0.056
246,0.042
247,0.063
248,0.059
249,-0.015
250,-0.015
251,0.005
252,0.066
253,-0.007
254,0.044
255,0.032
256,-0.002
257,-0.042
258,-0.015
259,-0.022
260,-0.056
261,-0.039
262,0.042
263,0.044
264,0.142
265,0.122
266,-0.02
267,0.09
268,0.117
269,0.032
270,0.1
271,0.063
272,-0.015
273,-0.029
274,0.037
275,-0.029
276,-0.022
277,-0.046
278,-0.007
279,0.061
280,-0.071
281,-0.088
282,-0.012
283,0.132
284,0.002
285,0.046
286,0.02
287,0.024
288,0.015
289,-0.012
290,-0.002
291,-0.068
292,-0.012
293,0.034
294,-0.09
295,-0.093
296,0.017
297,-0.107
298,-0.1
299,-0.059
300,-0.107
301,0.005
302,0.029
303,-0.071
304,-0.027
305,0.039
306,-0.02
307,0.081
308,-0.012
309,-0.078
310,0.061
311,0.032
312,-0.071
313,-0.039
314,-0.159
315,-0.024
316,0.032
317,-0.068
318,-0.059
319,-0.071
320,-0.078
321,0.068
322,0.024
323,0.027
324,0.0
325,0.015
326,0.073
327,0.093
328,0.105
329,0.093
330,0.059
331,0.039
332,-0.044
333,0.017
334,0.066
335,0.005
336,-0.034
337,0.081
338,0.005
339,-0.034
340,-0.039
341,-0.049
342,-0.076
343,0.029
344,0.076
345,0.107
346,0.039
347,-0.015
348,-0.015
349,-0.061
350,-0.01
351,0.044
352,0.056
353,0.112
354,-0.01
355,-0.051
356,-0.049
357,-0.071
358,-0.024
359,-0.02
360,-0.022
361,-0.007
362,0.02
363,-0.081
364,-0.027
365,0.049
366,0.017
367,0.059
368,0.024
369,0.085
370,0.049
371,-0.081
372,0.034
373,-0.034
374,-0.151
375,-0.042
376,-0.039
377,0.071
378,-0.002
379,-0.088
380,-0.054
381,-0.142
382,-0.029
383,-0.051
384,-0.032
385,-0.039
386,0.044
387,0.078
388,-0.022
389,-0.154
390,-0.059
391,-0.125
392,-0.095
393,0.032
394,-0.095
395,-0.037
396,0.002
397,-0.146
398,-0.042
399,-0.032
400,0.017
401,-0.002
402,0.032
403,-0.049
404,-0.051
405,0.071
406,-0.01
407,-0.11
408,-0.032
409,0.029
410,0.007
411,-0.039
412,-0.005
413,-0.01
414,-0.034
415,0.088
416,-0.012
417,-0.059
418,-0.1
419,-0.012
420,0.017
421,-0.161
422,0.015
423,-0.017
424,-0.039
425,-0.002
426,0.134
427,0.005
428,-0.051
429,0.005
430,0.01
431,0.034
432,-0.046
433,0.015
434,0.024
435,-0.034
436,-0.002
437,-0.017
438,-0.098
439,-0.061
440,-0.002
441,-0.032
442,0.01
443,0.063
444,0.088
445,0.037
446,0.0
447,-0.02
448,0.01
449,0.005
450,-0.037
451,-0.007
452,-0.044
453,0.017
454,-0.029
455,-0.034
456,-0.083
457,-0.132
458,0.09
459,0.005
460,-0.168
461,-0.134
462,-0.09
463,-0.176
464,-0.088
465,-0.093
466,0.046
467,0.024
468,-0.032
469,0.005
470,-0.017
471,0.015
472,-0.029
473,-0.012
474,-0.151
475,-0.005
476,0.024
477,-0.039
478,0.024
479,-0.056
480,-0.176
481,-0.029
482,0.098
483,0.012
484,-0.046
485,-0.024
486,-0.093
487,-0.044
488,-0.024
489,0.039
490,-0.049
491,-0.015
492,0.027
493,0.037
494,0.034
495,-0.059
496,-0.139
497,-0.09
498,-0.039
499,-0.088
500,-0.149
501,-0.027
502,0.002
503,-0.088
504,-0.105
505,-0.056
506,0.068
507,-0.054
508,-0.088
509,0.095
510,0.056
511,0.078
512,-0.022
513,0.012
514,-0.02
515,0.027
516,0.105
517,0.024
518,-0.032
519,0.005
520,0.081
521,0.032
522,-0.01
523,-0.005
524,-0.01
525,-0.076
526,-0.029
527,-0.037
528,-0.002
529,0.027
530,0.049
531,-0.034
532,-0.032
533,0.063
534,0.042
535,0.029
536,-0.005
537,-0.125
538,0.059
539,-0.056
540,-0.054
541,-0.068
542,-0.02
543,-0.012
544,-0.127
545,-0.037
546,0.076
547,-0.049
548,-0.005
549,-0.051
550,0.002
551,0.066
552,0.051
553,0.056
554,-0.005
555,-0.034
556,-0.093
557,-0.049
558,-0.012
559,-0.063
560,-0.002
561,0.02
562,-0.066
563,0.088
564,-0.037
565,-0.103
566,-0.061
567,-0.09
568,-0.032
569,0.085
570,-0.066
571,-0.063
572,0.044
573,-0.046
574,-0.022
575,0.09
576,-0.022
577,0.166
578,0.073
579,-0.01
580,0.039
581,-0.051
582,-0.046
583,-0.095
584,-0.151
585,0.039
586,-0.024
587,-0.071
588,-0.022
589,0.09
590,0.156
591,0.093
592,0.017
593,0.081
594,0.146
595,0.037
596,0.005
597,-0.132
598,0.007
599,0.039
600,0.024
601,0.037
602,-0.081
603,0.059
604,0.159
605,0.01
606,-0.002
607,0.039
608,0.125
609,0.095
610,0.002
611,0.042
612,0.085
613,0.051
614,-0.007
615,0.012
616,0.081
617,0.061
618,-0.02
619,-0.125
620,-0.051
621,0.032
622,0.015
623,0.032
624,0.015
625,-0.002
