,-0.005.1
0,0.002
1,0.071
2,0.032
3,0.007
4,0.037
5,0.024
6,0.017
7,0.02
8,0.029
9,-0.012
10,0.103
11,0.105
12,0.142
13,0.051
14,0.085
15,0.071
16,-0.017
17,0.071
18,0.063
19,0.0
20,0.012
21,0.017
22,-0.007
23,0.088
24,-0.073
25,-0.017
26,-0.02
27,-0.017
28,0.071
29,-0.044
30,-0.017
31,0.012
32,-0.032
33,0.09
34,0.022
35,0.007
36,-0.088
37,0.088
38,0.049
39,0.034
40,-0.012
41,-0.093
42,0.01
43,-0.01
44,-0.066
45,-0.117
46,-0.11
47,-0.051
48,-0.032
49,-0.085
50,-0.037
51,0.005
52,0.076
53,0.054
54,0.139
55,0.037
56,0.027
57,0.068
58,-0.029
59,0.046
60,0.051
61,-0.044
62,-0.022
63,-0.005
64,-0.071
65,-0.078
66,0.012
67,-0.007
68,0.002
69,0.0
70,0.049
71,0.073
72,0.02
73,-0.051
74,0.022
75,0.073
76,0.024
77,0.112
78,0.076
79,0.063
80,-0.049
81,-0.066
82,-0.015
83,-0.034
84,0.024
85,-0.1
86,-0.105
87,0.0
88,-0.02
89,-0.161
90,-0.115
91,-0.056
92,0.032
93,-0.022
94,-0.059
95,0.034
96,0.0
97,-0.005
98,-0.063
99,-0.107
100,-0.034
101,-0.024
102,-0.005
103,-0.088
104,-0.134
105,-0.042
106,-0.024
107,-0.032
108,-0.1
109,-0.02
110,-0.037
111,-0.049
112,-0.112
113,0.017
114,-0.044
115,-0.098
116,0.01
117,-0.005
118,-0.059
119,-0.002
120,0.002
121,-0.037
122,-0.027
123,-0.029
124,-0.044
125,-0.11
126,-0.034
127,0.022
128,0.042
129,-0.02
130,0.015
131,0.054
132,-0.051
133,-0.005
134,0.042
135,-0.02
136,-0.056
137,-0.029
138,0.02
139,-0.068
140,0.002
141,-0.012
142,-0.134
143,-0.151
144,-0.005
145,-0.027
146,-0.01
147,-0.039
148,-0.044
149,0.029
150,-0.063
151,-0.029
152,0.005
153,-0.017
154,-0.037
155,0.0
156,0.037
157,0.01
158,0.059
159,-0.054
160,0.061
161,-0.01
162,-0.056
163,-0.105
164,-0.09
165,-0.076
166,-0.037
167,-0.042
168,-0.117
169,-0.081
170,-0.095
171,-0.059
172,-0.105
173,-0.049
174,0.02
175,-0.073
176,-0.024
177,-0.063
178,-0.117
179,-0.027
180,0.044
181,0.029
182,-0.015
183,-0.044
184,0.095
185,0.046
186,-0.046
187,-0.129
188,-0.017
189,-0.042
190,-0.105
191,-0.046
192,0.0
193,-0.098
194,-0.056
195,0.042
196,0.056
197,-0.027
198,0.01
199,0.044
200,-0.039
201,-0.032
202,0.085
203,-0.012
204,0.02
205,-0.076
206,-0.051
207,-0.039
208,-0.037
209,0.007
210,-0.02
211,-0.063
212,-0.029
213,-0.017
214,-0.061
215,-0.034
216,0.068
217,0.09
218,0.012
219,0.022
220,0.059
221,0.01
222,0.002
223,-0.01
224,0.105
225,0.088
226,0.005
227,-0.093
228,0.017
229,0.01
230,0.066
231,-0.046
232,-0.122
233,-0.051
234,0.027
235,-0.029
236,-0.042
237,-0.054
238,-0.051
239,0.059
240,0.056
241,-0.042
242,-0.02
243,-0.117
244,0.068
245,-0.012
246,-0.039
247,-0.056
248,-0.144
249,0.024
250,0.059
251,-0.144
252,-0.059
253,-0.042
254,-0.002
255,-0.051
256,-0.022
257,-0.042
258,0.098
259,0.066
260,0.015
261,0.015
262,-0.007
263,-0.015
264,-0.081
265,-0.076
266,0.056
267,0.073
268,0.081
269,-0.042
270,-0.034
271,0.017
272,-0.159
273,-0.146
274,-0.098
275,-0.068
276,-0.046
277,0.034
278,0.044
279,0.054
280,0.007
281,-0.022
282,-0.017
283,-0.01
284,0.073
285,-0.078
286,-0.042
287,0.042
288,-0.002
289,-0.02
290,0.015
291,-0.012
292,0.012
293,-0.007
294,-0.024
295,-0.029
296,0.029
297,0.083
298,0.1
299,-0.022
300,-0.107
301,-0.049
302,0.051
303,-0.01
304,-0.002
305,0.059
306,0.054
307,-0.015
308,-0.137
309,-0.1
310,0.029
311,0.044
312,0.039
313,-0.078
314,-0.088
315,0.095
316,0.061
317,0.056
318,0.007
319,0.051
