,-0.105
0,-0.093
1,0.103
2,-0.037
3,-0.044
4,-0.076
5,-0.125
6,-0.095
7,-0.088
8,0.032
9,0.034
10,-0.105
11,0.046
12,0.044
13,-0.181
14,-0.181
15,-0.217
16,-0.186
17,-0.112
18,-0.161
19,-0.154
20,-0.137
21,-0.107
22,-0.066
23,-0.105
24,-0.112
25,0.012
26,-0.012
27,-0.032
28,0.044
29,0.029
30,-0.012
31,-0.022
32,-0.002
33,-0.034
34,-0.024
35,0.002
36,-0.054
37,-0.093
38,-0.076
39,-0.129
40,-0.09
41,-0.178
42,-0.127
43,-0.037
44,-0.027
45,-0.056
46,-0.005
47,0.022
48,-0.007
49,0.09
50,0.073
51,0.017
52,0.063
53,0.032
54,-0.002
55,-0.022
56,0.01
57,-0.027
58,-0.015
59,-0.051
60,0.007
61,-0.081
62,-0.051
63,-0.059
64,-0.039
65,-0.02
66,-0.081
67,-0.012
68,0.098
69,0.068
70,-0.002
71,0.022
72,0.063
73,0.103
74,0.122
75,0.078
76,0.059
77,0.056
78,0.044
79,-0.081
80,-0.005
81,-0.117
82,0.024
83,-0.076
84,-0.127
85,-0.044
86,-0.107
87,-0.012
88,-0.144
89,0.02
90,0.042
91,-0.005
92,0.09
93,-0.002
94,0.032
95,0.046
96,0.049
97,0.042
98,0.017
99,-0.083
100,0.034
101,0.024
102,0.002
103,-0.122
104,-0.051
105,-0.103
106,-0.027
107,-0.127
108,-0.134
109,-0.022
110,-0.09
111,0.002
112,-0.056
113,-0.081
114,0.054
115,-0.066
116,-0.049
117,0.022
118,-0.054
119,0.002
120,-0.017
121,-0.105
122,0.078
123,-0.039
124,-0.002
125,0.056
126,-0.093
127,-0.005
128,-0.107
129,-0.073
130,-0.081
131,-0.078
132,0.081
133,0.042
134,-0.034
135,0.012
136,0.027
137,-0.049
138,0.01
139,0.0
140,0.017
141,0.042
142,0.02
143,-0.002
144,0.029
145,-0.012
146,-0.042
147,-0.022
148,0.054
149,0.085
150,0.112
151,0.098
152,0.039
153,0.056
154,0.015
155,0.046
156,0.083
157,0.005
158,0.09
159,0.022
160,0.09
161,0.134
162,0.01
163,0.149
164,0.137
165,0.046
166,-0.002
167,0.063
168,0.01
169,0.037
170,-0.012
171,-0.005
172,-0.029
173,0.066
174,0.059
175,0.042
176,0.002
177,0.01
178,0.029
179,-0.059
180,-0.09
181,0.012
182,0.085
183,0.012
184,-0.076
185,-0.024
186,0.037
187,0.083
188,-0.005
189,-0.032
190,0.076
191,0.049
192,0.032
193,0.063
