,-0.032.1
0,0.012
1,-0.027
2,0.015
3,0.002
4,-0.071
5,-0.073
6,0.02
7,-0.066
8,-0.046
9,0.02
10,-0.012
11,0.002
12,-0.046
13,0.0
14,0.007
15,0.129
16,0.024
17,0.042
18,0.01
19,-0.056
20,0.066
21,0.037
22,-0.017
23,-0.017
24,-0.002
25,0.0
26,0.037
27,0.015
28,-0.015
29,-0.007
30,-0.115
31,-0.005
32,0.144
33,0.11
34,-0.017
35,0.029
36,-0.059
37,-0.022
38,0.049
39,-0.032
40,-0.042
41,0.034
42,0.076
43,0.063
44,0.029
45,0.01
46,0.017
47,0.059
48,0.046
49,-0.139
50,-0.095
51,0.037
52,0.0
53,-0.095
54,0.02
55,0.076
56,0.073
57,0.02
58,-0.056
59,0.083
60,0.044
61,0.066
62,0.066
63,-0.056
64,0.066
65,-0.11
66,-0.081
67,0.037
68,-0.095
69,-0.093
70,-0.012
71,-0.037
72,-0.015
73,-0.068
74,-0.068
75,0.012
76,-0.007
77,0.054
78,-0.088
79,-0.032
80,0.017
81,0.076
82,0.061
83,-0.029
84,0.015
85,-0.142
86,-0.098
87,-0.029
88,-0.005
89,-0.015
90,0.01
91,-0.037
92,-0.095
93,-0.105
94,-0.171
95,-0.188
96,-0.115
97,-0.034
98,-0.103
99,-0.059
100,0.002
101,0.061
102,0.066
103,-0.042
104,-0.032
105,-0.054
106,0.022
107,-0.032
108,0.02
109,0.032
110,-0.039
111,-0.024
112,-0.042
113,-0.063
114,-0.12
115,0.032
116,0.0
117,0.034
118,0.015
119,-0.088
120,0.1
121,0.132
122,-0.054
123,-0.022
124,0.042
125,0.056
126,-0.022
127,-0.085
128,-0.012
129,0.032
130,-0.061
131,0.051
132,-0.029
133,-0.078
134,-0.044
135,0.078
136,0.002
137,-0.051
138,-0.024
139,-0.022
140,-0.024
141,-0.068
142,-0.02
143,0.02
144,0.068
145,-0.046
146,-0.073
147,0.037
148,0.015
149,0.01
150,0.054
151,-0.024
152,0.015
153,-0.076
154,0.024
155,-0.015
156,-0.068
157,0.063
158,-0.012
159,0.012
160,0.049
161,0.051
162,0.1
163,0.012
164,0.029
165,-0.098
166,-0.012
167,0.042
168,0.02
169,-0.073
170,0.015
171,-0.032
172,-0.022
173,-0.029
174,-0.037
175,-0.049
176,0.002
177,0.044
178,-0.071
179,0.063
180,0.063
181,-0.012
182,0.051
183,-0.039
184,0.085
185,-0.007
