,-0.183.1
0,-0.105
1,-0.122
2,-0.032
3,-0.159
4,0.029
5,0.083
6,0.015
7,-0.249
8,-0.237
9,-0.098
10,-0.19
11,-0.215
12,-0.081
13,-0.063
14,-0.154
15,-0.205
16,-0.088
17,-0.21
18,-0.21
19,-0.149
20,-0.002
21,-0.366
22,-0.203
23,-0.061
24,-0.005
25,0.049
26,-0.291
27,-0.242
28,-0.071
29,-0.029
30,-0.261
31,-0.178
32,-0.222
33,0.249
34,-0.125
35,-0.161
36,0.151
37,0.078
38,-0.286
39,-0.051
40,0.076
41,-0.166
42,-0.261
43,-0.151
44,0.129
45,-0.061
46,-0.247
47,-0.222
48,-0.22
49,-0.107
50,-0.027
51,0.029
52,-0.122
53,-0.024
54,-0.027
55,-0.288
56,-0.137
57,0.161
58,-0.088
59,-0.247
60,-0.027
61,0.017
62,-0.01
63,-0.154
64,-0.154
65,-0.203
66,-0.19
67,-0.142
68,-0.059
69,0.054
70,-0.19
71,-0.234
72,-0.139
73,-0.017
74,0.007
75,0.034
76,-0.024
77,-0.083
78,-0.244
79,-0.156
80,0.076
81,-0.083
82,-0.022
83,-0.322
84,-0.3
85,-0.208
86,-0.1
87,-0.195
88,-0.215
89,-0.146
90,-0.1
91,-0.239
92,-0.125
93,0.022
94,-0.259
95,-0.176
96,-0.269
97,-0.142
98,-0.198
99,-0.215
100,-0.273
101,-0.034
102,-0.056
103,-0.168
104,-0.325
105,-0.227
106,0.0
107,-0.225
108,-0.286
109,-0.269
110,-0.083
111,-0.217
112,-0.044
113,-0.068
114,0.068
115,-0.071
116,-0.315
117,-0.09
118,0.098
119,-0.012
120,-0.452
121,0.171
122,0.181
123,-0.044
124,-0.164
125,-0.146
126,-0.005
127,-0.12
128,-0.137
129,-0.103
130,-0.239
131,-0.413
132,-0.171
133,-0.156
134,-0.103
135,-0.146
136,-0.264
137,-0.022
138,-0.081
139,-0.142
140,-0.146
141,0.034
142,-0.195
143,-0.256
144,0.02
145,-0.117
146,-0.217
147,-0.129
148,-0.015
149,-0.01
150,-0.239
151,-0.227
152,0.0
153,-0.049
154,-0.186
155,-0.054
156,-0.139
157,-0.107
158,-0.039
159,-0.115
160,-0.027
161,-0.22
162,-0.291
163,-0.066
164,-0.132
165,-0.208
166,0.098
167,0.039
168,-0.1
169,-0.183
170,-0.168
171,-0.132
