,-0.034
0,-0.044
1,-0.205
2,-0.107
3,0.022
4,-0.107
5,-0.225
6,-0.195
7,-0.159
8,-0.022
9,-0.071
10,-0.413
11,-0.261
12,-0.088
13,-0.237
14,-0.178
15,-0.31
16,-0.356
17,-0.059
18,-0.09
19,-0.239
20,-0.19
21,-0.237
22,0.037
23,-0.137
24,-0.364
25,-0.129
26,-0.071
27,-0.151
28,0.051
29,-0.261
30,-0.115
31,-0.212
32,-0.398
33,0.254
34,0.21
35,-0.212
36,-0.144
37,-0.171
38,-0.015
39,-0.002
40,0.051
41,0.0
42,0.176
43,-0.098
44,-0.105
45,0.095
46,-0.312
47,-0.247
48,-0.125
49,-0.3
50,-0.029
51,-0.029
52,-0.234
53,-0.044
54,-0.129
55,-0.159
56,-0.081
57,-0.251
58,-0.088
59,0.037
60,-0.083
61,-0.146
62,0.115
63,-0.239
64,-0.166
65,-0.007
66,-0.081
67,-0.203
68,-0.098
69,-0.061
70,-0.198
71,-0.129
72,-0.21
73,-0.137
74,-0.164
75,-0.049
76,-0.098
77,-0.281
78,-0.205
79,-0.115
80,0.076
81,-0.059
82,-0.083
83,0.046
84,0.142
85,-0.002
86,-0.137
87,-0.024
88,-0.046
89,-0.051
90,-0.322
91,-0.234
92,-0.181
93,-0.112
94,-0.151
95,-0.127
96,-0.403
97,-0.234
98,0.012
99,-0.181
100,-0.217
101,-0.129
102,-0.181
103,-0.098
104,0.066
105,-0.183
106,-0.137
107,-0.046
108,-0.024
109,-0.159
110,-0.398
111,-0.398
112,-0.129
113,-0.068
114,-0.266
115,-0.083
116,-0.076
117,-0.073
118,-0.071
119,-0.144
120,-0.195
121,-0.024
122,-0.017
123,-0.032
124,0.005
125,-0.288
126,-0.054
127,0.142
128,0.071
129,-0.142
130,-0.176
131,-0.012
132,-0.146
133,-0.176
134,-0.203
135,-0.117
136,-0.151
137,-0.112
138,-0.095
139,-0.22
140,-0.347
141,0.007
142,-0.046
143,-0.02
144,0.129
145,0.015
146,-0.081
147,-0.137
148,-0.125
149,-0.01
